"","X.1","Unnamed..0","X","Date","Year","Time","Location","Operator","Route","AC.Type","Manufacturer","Registration","cn.ln","Aboard","Aboard.Passangers","Aboard.Crew","Fatalities","Fatalities.Passangers","Fatalities.Crew","Ground","Summary","Coordinates","Latitude","Longitude","Country","Country.coordinates","Location_Status"
"1",0,1,1,"09/17/1908",1908,"17-18","Fort Myer, Virginia","Military - U.S. Army","Demonstration","Wright Flyer III","Other","","1",2,1,1,1,1,0,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.","(38.878877, -77.068158)",40.6617977465262,-78.1945613252398,"United States","United States","correct location"
"2",2,3,3,"07/12/1912",1912,"06-07","Atlantic City, New Jersey","Military - U.S. Navy","Test flight","Dirigible","Other","","",5,0,5,5,0,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.","(39.377094, -74.451563)",39.6601230824959,-75.1244578252674,"United States","United States","correct location"
"3",6,7,7,"03/05/1915",1915,"01-02","Tienen, Belgium","Military - German Navy","","Zeppelin L-8 (airship)","Zeppelin","","",41,NA,NA,21,NA,NA,0,"Crashed into trees while attempting to land after being shot down by British and French aircraft.","(50.80931, 4.937385)",49.5950757154917,5.62855646499838,"Belgium","Belgium","correct location"
"4",7,8,8,"09/03/1915",1915,"15-16","Cuxhaven, Germany","Military - German Navy","","Zeppelin L-10 (airship)","Zeppelin","","",19,NA,NA,19,NA,NA,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.","(53.859527, 8.693474)",53.4738124733319,11.0303274241043,"Germany","Germany","correct location"
"5",9,10,10,"09/24/1916",1916,"01-02","Billericay, England","Military - German Navy","","Zeppelin L-32 (airship)","Zeppelin","","",22,NA,NA,22,NA,NA,0,"Shot down by British aircraft crashing in flames.","(51.621363, 0.414078)",51.4652912041362,4.43526816839013,"United Kingdom","United Kingdom","correct location"
"6",10,11,11,"10/01/1916",1916,"23-00","Potters Bar, England","Military - German Navy","","Zeppelin L-31 (airship)","Zeppelin","","",19,0,19,19,0,19,0,"Shot down in flames by the British 39th Home Defence Squadron.","(51.692886, -0.192891)",52.2655909650609,-0.830526409905154,"United Kingdom","United Kingdom","correct location"
"7",12,13,13,"11/28/1916",1916,"23-00","West Hartlepool, England","Military - German Navy","","Zeppelin L-34 (airship)","Zeppelin","","",20,NA,NA,20,NA,NA,0,"Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.","(54.693274, -1.223038)",55.3083044192351,-1.2075055386534,"United Kingdom","United Kingdom","correct location"
"8",19,20,20,"10/20/1917",1917,"07-08","Luneville, France","Military - German Navy","","Zeppelin L-44 (airship)","Zeppelin","","",18,NA,NA,18,NA,NA,0,"Shot down by French anti-aircraft fire.","(48.589904, 6.500118)",48.9021007339526,8.74942252766494,"France","France","correct location"
"9",26,27,27,"07/21/1919",1919,"16-17","Chicago, Illinois","Wingfoot Air Express Goodyear Tire","Shuttle","FD Type Dirigible","Other","","",NA,NA,NA,3,2,1,10," The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed","(41.87897, -87.66063)",38.5118155298211,-90.8769388893943,"United States","United States","correct location"
"10",46,50,50,"12/14/1920",1920,"12-13","London, England","Handley Page Transport","London - Paris","Handley Page HP-16","Handley Page","G-EAMA","HP-25",8,6,2,4,2,2,0,"The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..","(51.509648, -0.099076)",51.0274605346619,1.2150238716457,"United Kingdom","United Kingdom","correct location"
